日期时间,发电量[kW*h],风速[m/s],风向[°]
2022/11/15 0:00,127570.7882,9.738,239
2022/11/15 1:00,135668.5816,10.038,240
2022/11/15 2:00,142818.4282,10.338,241
2022/11/15 3:00,149418.0617,10.638,242
2022/11/15 4:00,155371.793,10.938,243
2022/11/15 5:00,160400.5528,11.238,244
2022/11/15 6:00,165056.0583,11.538,245
2022/11/15 7:00,174758.8936,12.41266667,246
2022/11/15 8:00,180711.0465,13.28733333,247
2022/11/15 9:00,184266.6046,14.162,248
2022/11/15 10:00,186328.4467,15.03666667,249
2022/11/15 11:00,187472.6995,15.91133333,250
2022/11/15 12:00,188121.6142,16.786,251
2022/11/15 13:00,187808.2207,16.3055,252
2022/11/15 14:00,187378.8944,15.825,253
2022/11/15 15:00,186791.7382,15.3445,254
2022/11/15 16:00,185990.5144,14.864,255
2022/11/15 17:00,184900.3969,14.3835,256
2022/11/15 18:00,183423.0144,13.903,257
2022/11/15 19:00,184697.24,14.3125,258
2022/11/15 20:00,185695.2915,14.722,259
2022/11/15 21:00,186471.1716,15.1315,260
2022/11/15 22:00,187070.3152,15.541,
2022/11/15 23:00,187515.2559,15.9505,
2022/11/16 0:00,187850.8895,16.36,
2022/11/16 1:00,186400.1854,15.08433333,
2022/11/16 2:00,183053.4133,13.80866667,
2022/11/16 3:00,175829.1151,12.533,
2022/11/16 4:00,160709.1,11.25733333,
2022/11/16 5:00,134259.6671,9.981666667,
2022/11/16 6:00,96737.12194,8.706,
2022/11/16 7:00,74229.27295,7.980833333,
2022/11/16 8:00,54026.59461,7.255666667,
2022/11/16 9:00,37190.90072,6.5305,
2022/11/16 10:00,24835.80226,5.805333333,
2022/11/16 11:00,15921.60497,5.080166667,
2022/11/16 12:00,10002.01731,4.355,
2022/11/16 13:00,9422.106363,4.261333333,
2022/11/16 14:00,8842.195421,4.167666667,
2022/11/16 15:00,8262.284478,4.074,
2022/11/16 16:00,7714.195295,3.980333333,
2022/11/16 17:00,7285.842226,3.886666667,
2022/11/16 18:00,6857.489156,3.793,
2022/11/16 19:00,5446.072903,3.478666667,
2022/11/16 20:00,4392.873469,3.164333333,
2022/11/16 21:00,3476.22812,2.85,
2022/11/16 22:00,2709.185357,2.535666667,
2022/11/16 23:00,2129.054117,2.221333333,
2022/11/17 0:00,1618.454807,1.907,
2022/11/17 1:00,2453.164923,2.4045,
2022/11/17 2:00,3603.119605,2.902,
2022/11/17 3:00,5180.818539,3.3995,
2022/11/17 4:00,7333.098258,3.897,
2022/11/17 5:00,10246.5705,4.3945,
2022/11/17 6:00,14149.41864,4.892,
2022/11/17 7:00,22729.04621,5.6565,
2022/11/17 8:00,35112.98957,6.421,
2022/11/17 9:00,52221.78208,7.1855,
2022/11/17 10:00,73336.78507,7.95,
2022/11/17 11:00,97004.00244,8.7145,
2022/11/17 12:00,120404.5491,9.479,
2022/11/17 13:00,74475.31015,7.989333333,
2022/11/17 14:00,36518.46098,6.499666667,
2022/11/17 15:00,15154.11772,5.01,
2022/11/17 16:00,5610.539651,3.520333333,
2022/11/17 17:00,1791.672168,2.030666667,
2022/11/17 18:00,331.7883849,0.541,
